targetId,comparatorId,outcomeId,outcomeName,type
1893,1894,434165,Abnormal cervical smear,outcome
1893,1894,436409,Abnormal pupil,outcome
1893,1894,199192,Abrasion and/or friction burn of trunk without infection,outcome
1893,1894,4088290,Absence of breast,outcome
1893,1894,4092879,Absent kidney,outcome
1893,1894,436634,Acariasis,outcome
1893,1894,44783954,Acid reflux,outcome
1893,1894,75911,Acquired hallux valgus,outcome
1893,1894,137951,Acquired keratoderma,outcome
1893,1894,77965,Acquired trigger finger,outcome
1893,1894,376707,Acute conjunctivitis,outcome
1893,1894,4103640,Amputated foot,outcome
1893,1894,432595,Amyloidosis,outcome
1893,1894,73241,Anal and rectal polyp,outcome
1893,1894,437082,Ankylosing spondylitis,outcome
1893,1894,77650,Aseptic necrosis of bone,outcome
1893,1894,378424,Astigmatism,outcome
1893,1894,374923,Bell's palsy,outcome
1893,1894,4110709,Benign epithelial neoplasm of skin,outcome
1893,1894,133655,Burn of forearm,outcome
1893,1894,73560,Calcaneal spur,outcome
1893,1894,434327,Cannabis abuse,outcome
1893,1894,4213540,Cervical somatic dysfunction,outcome
1893,1894,381581,Chalazion,outcome
1893,1894,140842,Changes in skin texture,outcome
1893,1894,438531,Chondromalacia,outcome
1893,1894,81378,Chondromalacia of patella,outcome
1893,1894,432303,Cocaine abuse,outcome
1893,1894,4201390,Colostomy present,outcome
1893,1894,46269889,Complication due to Crohn's disease,outcome
1893,1894,134438,Contact dermatitis,outcome
1893,1894,78619,Contusion of knee,outcome
1893,1894,201606,Crohn's disease,outcome
1893,1894,260134,Croup,outcome
1893,1894,76786,Derangement of knee,outcome
1893,1894,4115402,Difficulty sleeping,outcome
1893,1894,443767,Disorder of eye due to diabetes mellitus,outcome
1893,1894,45757370,Disproportion of reconstructed breast,outcome
1893,1894,433111,Effects of hunger,outcome
1893,1894,441589,Endocarditis,outcome
1893,1894,200775,Endometrial hyperplasia,outcome
1893,1894,433527,Endometriosis (clinical),outcome
1893,1894,73008,Enthesopathy,outcome
1893,1894,4249170,Epicondylitis,outcome
1893,1894,4170770,Epidermoid cyst,outcome
1893,1894,4345472,Epstein-Barr virus disease,outcome
1893,1894,4092896,Feces contents abnormal,outcome
1893,1894,259995,Foreign body in orifice,outcome
1893,1894,4050747,Fracture of upper limb,outcome
1893,1894,196456,Gallstone,outcome
1893,1894,40481632,Ganglion cyst,outcome
1893,1894,4166231,Genetic predisposition,outcome
1893,1894,74855,Genital herpes simplex,outcome
1893,1894,433577,Hammer toe,outcome
1893,1894,441818,Hemangioma,outcome
1893,1894,4231770,Hereditary thrombophilia,outcome
1893,1894,440329,Herpes zoster without complication,outcome
1893,1894,4012570,High risk sexual behavior,outcome
1893,1894,4038835,Hodgkin's disease (clinical),outcome
1893,1894,4012934,Homocystinuria,outcome
1893,1894,441788,Human papilloma virus infection,outcome
1893,1894,380688,Hypoglycemic coma,outcome
1893,1894,4254542,Hypopituitarism,outcome
